收藏品名称,皮肤名称,品质,磨损区间,磨损,buff_goods_id,收藏品英文名称,品质代码,市场哈希名称,crate_id,price_buff
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773715,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,1117.99
CS:GO Weapon Case 2,SSG 08（StatTrak™） | 水中之血,隐秘级,0.06 ~ 0.2,略有磨损,39547,CS:GO Weapon Case 2,rarity_ancient_weapon,StatTrak™ SSG 08 | Blood in the Water,crate-4004,1797.0
CS:GO Weapon Case 2,SSG 08（StatTrak™） | 水中之血,隐秘级,0.06 ~ 0.2,久经沙场,39546,CS:GO Weapon Case 2,rarity_ancient_weapon,StatTrak™ SSG 08 | Blood in the Water,crate-4004,
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,崭新出厂,34354,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,699.69
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,略有磨损,34356,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,539.5
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,久经沙场,34355,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,505.37
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,破损不堪,34357,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,520.0
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,战痕累累,34353,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,606.0
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,崭新出厂,38383,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,1078.5
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,略有磨损,38385,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,596.0
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,久经沙场,38384,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,550.0
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,破损不堪,38386,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,战痕累累,38382,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,1000.0
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,崭新出厂,35219,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,1970.0
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,略有磨损,35221,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,807.39
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,久经沙场,35220,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,787.77
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,破损不堪,35222,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,775.47
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,战痕累累,35218,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,749.99
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,崭新出厂,38829,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,3038.0
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,略有磨损,38831,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,1198.3
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,久经沙场,38830,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,704.0
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,破损不堪,38832,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,749.5
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,战痕累累,38828,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,775.8
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,崭新出厂,35414,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,799.5
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,略有磨损,35416,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,786.99
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,久经沙场,35415,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,787.0
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,破损不堪,35417,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,820.0
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,崭新出厂,38947,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,841.99
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,略有磨损,38949,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,697.0
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,久经沙场,38948,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,680.0
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,破损不堪,38950,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,769.0
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,崭新出厂,35185,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,1760.0
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,略有磨损,35187,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,784.0
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,久经沙场,35186,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,756.95
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,破损不堪,35188,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,742.5
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,战痕累累,35184,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,749.99
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,崭新出厂,38800,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,2244.75
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,略有磨损,38802,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,1002.9
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,久经沙场,38801,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,698.0
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,破损不堪,38803,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,766.0
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,战痕累累,38799,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,705.0
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,崭新出厂,36271,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,800.0
